@T,table
@H,timestamp,val_1133,val_1135,val_1141,val_1148,val_1151,val_90029,val_90031,val_90033,val_90034,val_90036,val_90098,val_90100,val_90441,val_90442,val_90443,val_90444,val_90446,val_90447,val_90564,val_90568,val_90574
val,  ,1133,1135,1141,1148,1151,90029,90031,90033,90034,90036,90098,90100,90441,90442,90443,90444,90446,90447,90564,90568,90574
,2007-01-01 00:00,0.04,-8.01,-7.26,-3.05,-11.31,-10.41,-6.35,-2.80,-3.18,-5.24,-3.10,-1.43,-1.32,1.34,-0.45,0.96,-0.38,1.89,-0.69,1.38,-9999
,2007-02-01 00:00,2.29,-7.34,-6.46,-3.97,-10.62,-10.62,-6.46,-3.02,-3.81,-5.58,-3.97,-1.59,-2.17,1.62,-1.65,1.51,0.82,3.37,-0.89,1.33,-9999
,2007-03-01 00:00,5.33,-8.59,-7.09,-3.87,-11.36,-11.39,-7.05,-2.14,-4.24,-6.09,-3.86,-0.65,-0.29,2.65,-5.42,3.37,4.00,6.00,-0.46,2.13,-3.08
,2007-04-01 00:00,12.79,-0.93,1.10,3.62,-3.80,-4.73,-0.08,5.06,2.66,1.13,2.48,6.02,6.22,9.28,1.08,10.00,10.90,13.03,6.18,8.76,-1.02
,2007-05-01 00:00,14.11,-0.99,0.42,4.69,-3.49,-3.49,0.42,6.68,3.96,1.81,4.68,7.36,8.48,10.61,2.84,11.57,1.74,14.65,7.53,10.14,0.22
,2007-06-01 00:00,16.44,2.30,3.82,7.65,-0.01,-0.01,3.81,9.93,7.59,5.10,7.65,10.38,11.35,13.33,5.95,14.43,-9999,17.79,10.33,12.74,3.12
,2007-07-01 00:00,17.24,4.01,4.56,9.89,1.83,1.63,4.42,11.23,8.99,6.96,9.74,12.28,13.66,15.49,7.90,16.09,-9999,19.43,12.55,15.09,5.04
,2007-08-01 00:00,16.04,3.45,4.78,8.52,-9999,1.24,4.68,9.89,7.98,6.01,8.41,10.63,11.64,13.56,7.03,14.33,0.32,17.15,10.85,13.12,4.39
,2007-09-01 00:00,11.62,-0.81,-0.01,4.27,-9999,-3.55,-0.01,5.28,3.62,1.84,4.30,6.51,7.61,9.70,2.88,10.21,12.61,12.85,7.09,9.23,0.54
,2007-10-01 00:00,6.94,-1.83,-1.57,1.73,-9999,-4.25,-1.57,2.48,1.84,-0.02,1.71,4.01,4.35,6.76,0.77,7.13,8.76,9.11,4.43,6.47,0.37
,2007-11-01 00:00,1.79,-7.85,-7.37,-3.45,-9999,-10.20,-7.18,-2.97,-3.96,-5.81,-3.22,-1.29,-1.01,1.36,-4.16,1.42,2.39,2.95,-1.01,1.10,-4.47
,2007-12-01 00:00,-2.63,-9.66,-9.48,-6.42,-9999,-12.42,-9.50,-5.57,-5.75,-7.63,-6.44,-3.65,-4.17,0.54,-6.73,-0.85,-1.03,-0.22,-2.24,-0.48,-8.28
,2008-01-01 00:00,0.18,-6.64,-6.21,-2.91,-9999,-10.18,-7.07,-3.97,-4.42,-6.22,-4.38,-2.44,-3.06,-9999,-5.09,-0.21,0.54,0.91,-0.37,0.16,-6.23
,2008-02-01 00:00,0.57,-7.08,-7.02,-4.28,-9999,-9.74,-7.02,-3.32,-3.30,-4.92,-4.28,-1.82,-3.41,-9999,-4.60,0.76,1.89,2.39,-1.54,0.98,-5.90
,2008-03-01 00:00,4.26,-10.44,-9.26,-4.80,-20.42,-13.02,-9.26,-3.40,-5.17,-7.85,-4.71,-2.42,-1.19,-9999,-6.75,2.19,10.43,4.89,-2.07,0.64,-9.28
,2008-04-01 00:00,7.45,-7.87,-5.96,-1.98,-9999,-9.57,-5.96,-0.47,-5.26,-4.90,-1.98,0.62,1.59,-9999,-3.93,5.07,7.77,8.07,0.75,3.18,-6.10
,2008-05-01 00:00,13.35,-1.09,0.48,3.47,-9999,-3.68,0.48,6.31,-5.90,1.57,3.47,6.53,7.76,-9999,1.89,11.15,14.08,14.26,6.93,9.28,-0.24
,2008-06-01 00:00,16.56,16.37,3.98,8.02,-9999,0.55,3.98,10.09,-3.37,5.51,8.02,10.51,11.83,-9999,6.40,14.56,17.22,17.54,10.93,12.92,3.75
,2008-07-01 00:00,16.96,4.15,4.61,8.87,-9999,1.00,4.87,10.52,-4.76,6.57,9.09,11.48,12.53,-9999,7.55,15.11,17.65,18.22,11.84,13.97,4.74
,2008-08-01 00:00,-9999,-9999,-9999,-9999,-9999,2.27,5.76,10.92,-5.90,7.37,9.49,12.04,13.04,-9999,8.17,15.65,18.01,15.34,12.36,14.64,5.35
,2008-09-01 00:00,-9999,-9999,-9999,-9999,-9999,-2.84,0.87,5.81,0.60,2.52,2.78,6.96,7.82,-9999,3.27,10.73,12.78,12.03,7.28,9.47,0.84
,2008-10-01 00:00,-9999,-9999,-9999,-9999,-9999,-4.31,-0.43,3.36,2.64,0.95,2.42,4.68,5.13,-9999,1.31,7.90,9.26,10.14,5.33,7.27,-0.35
,2008-11-01 00:00,-9999,-9999,-9999,-9999,-9999,-10.70,-6.08,-2.91,-4.20,-5.80,-4.10,-1.30,-0.86,-9999,-4.86,1.50,2.63,3.30,-1.02,1.13,-6.45
,2008-12-01 00:00,-9999,-9999,-9999,-9999,-9999,-13.61,-9.28,-5.83,-6.48,-8.19,-6.70,-3.71,-4.62,-9999,-6.86,-1.27,-1.76,-0.91,-2.43,-1.56,-8.91
