@T,table
Created,2018-05-11 12:10
Author,HortonMachine library
@H,timestamp,value_135,value_105,value_106,value_108,value_112,value_49,value_145,value_50,value_51,value_147,value_52,value_53,value_54,value_55,value_56
ID,,135,105,106,108,112,49,145,50,51,147,52,53,54,55,56
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,
,2008-01-01 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2008-01-01 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2008-01-01 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2008-01-01 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2008-01-01 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2008-01-01 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2008-01-01 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2008-01-01 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2008-01-01 08:00,0.00619022579666865,0.0,1.0483518578611243E-4,0.0,0.0,0.004160726350048955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2008-01-01 09:00,0.016688075934911395,0.003979804528641231,0.010825258169855214,0.0,0.02130541178523933,0.014496335335985036,0.0,0.0036437788682422397,0.004508024838413277,0.0,0.02804696777617161,0.0,0.010537845609871458,0.0,0.0
,2008-01-01 10:00,0.019386081519959252,0.010663435899502154,0.017473189349646943,0.0,0.033842593723099106,0.01840675142761792,0.0,0.011172350230277114,0.013097118517024154,0.0,0.03659708949088533,0.0,0.016483570394360464,0.0,0.0
,2008-01-01 11:00,0.017671270902241257,0.014501295329288908,0.020449467276418727,0.0,0.04332697556991396,0.017948771090114224,0.0,0.016143960925425808,0.019154754762233415,0.0,0.04072121762833232,0.0,0.019128277716212224,0.037631091627534356,0.0
,2008-01-01 12:00,0.01185159140510198,0.01566961009791524,0.020273001179536558,0.0,0.04862059170214454,0.014076781494622506,0.0,0.018263586818145782,0.022489549386101072,0.0,0.04039575384264053,0.0,0.017725685171869825,0.039897517020325346,0.0
,2008-01-01 13:00,0.0018401745306588803,0.012524759003784774,0.015231681370328347,0.0,0.04566327250526694,0.005955288626007833,0.0027637532111791773,0.015625326983894156,0.02066248522169779,0.0,0.032481593380388765,0.0,0.01118949955561537,0.03408214389709704,0.002928947158131622
,2008-01-01 14:00,0.0,0.00525523346063107,0.005983089940960577,0.0,0.03290278705220116,0.0,0.004413225396573057,0.0,0.013026445932085615,0.0,0.018013807826308223,0.0,0.0011906661224024306,0.020554849690497173,0.005096682635576953
,2008-01-01 15:00,0.0,0.0,0.0,0.0,0.011591573520702794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027329893092710614,0.0
,2008-01-01 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
