@T,table
Created,2018-05-11 12:39
Author,HortonMachine library
@H,timestamp,value_135,value_105,value_106,value_108,value_112,value_49,value_145,value_50,value_51,value_147,value_52,value_53,value_54,value_55,value_56
ID,,135,105,106,108,112,49,145,50,51,147,52,53,54,55,56
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,
,2007-01-01 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-01 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-01 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-01 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-01 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-01 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-01 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-01 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-01 08:00,251.01416133892403,81.28306413943697,157.37705538567013,37.939132816549225,0.0,230.9205472964512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2007-01-01 09:00,424.53046241506723,232.90784988776235,342.2948227104105,0.0,479.78685707137043,411.99345041999715,0.0,220.2222205879111,236.36829502600057,0.0,600.3370100805821,0.0,312.73136606956143,0.0,0.0
,2007-01-01 10:00,472.89479853630587,352.04023097561134,459.7522036095765,97.51608109084114,682.5740763488013,482.808521680749,0.0,349.03556895054606,385.1325424894338,0.0,747.8507881648931,0.0,408.40431971961425,0.0,0.0
,2007-01-01 11:00,435.6019073713922,417.6249524683,507.2549235034036,74.25668303261043,806.1306273074125,470.8659757692229,0.0,427.1549799544595,482.60874729101465,38.93667521552065,791.5536200760038,0.0,436.57900317927937,672.985574741786,0.0
,2007-01-01 12:00,332.3918717180916,422.3533650427241,484.7386747602107,19.292998279638727,841.066057978034,390.3454751585761,108.37310889676596,444.2170864060178,515.4015669086504,56.279278855260685,742.3921640100294,0.0,399.92982240436646,669.4279913206584,106.90373563276827
,2007-01-01 13:00,183.64075819946976,364.91840894904385,396.31022291060816,0.0,780.1345376785268,256.717588199524,188.98201733243351,396.53284856734587,476.6507340132687,45.3772575110074,609.6859726224051,0.0,305.72981359423983,583.4480857591897,187.51295325743928
,2007-01-01 14:00,20.771136660979117,250.81148393071194,253.37678238277897,0.0,615.3197717586537,95.61177440882692,213.15113469670467,0.0,364.0458207877136,11.139261063708954,407.3664035823499,0.0,169.73709741439453,419.5315025497147,210.91267194122972
,2007-01-01 15:00,0.0,96.46994762434286,0.0,0.0,320.30080165061116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.13111588464551,184.7478258096579,140.87970903412705
,2007-01-01 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
